config,n,hit@1,hit@5,hit@10,ndcg@5,mrr,colloquial_hit@5,paraphrase_hit@5,exact_term_hit@5,followup_hit@5,hard_negative_hit@5
tfidf | q,123,0.6341,0.8049,0.8293,0.6477,0.698,0.375,0.8358,0.8667,1.0,1.0
tfidf | qa,123,0.6016,0.8049,0.8537,0.6539,0.6847,0.5,0.8209,1.0,0.8,1.0
minilm | q,123,0.8455,0.9268,0.9512,0.8382,0.8853,0.5625,0.9701,1.0,1.0,1.0
minilm | a,123,0.7317,0.9106,0.9593,0.7763,0.8073,0.5625,0.9552,1.0,1.0,1.0
minilm | qa,123,0.8862,0.9593,0.9756,0.8689,0.9167,0.6875,1.0,1.0,1.0,1.0
minilm | q_max_a,123,0.8699,0.935,0.9756,0.8565,0.9042,0.5625,0.9851,1.0,1.0,1.0
minilm | q_avg_a,123,0.8537,0.935,0.9675,0.859,0.8965,0.625,0.9851,1.0,1.0,1.0
bge-small | q,123,0.8699,0.9268,0.9512,0.8453,0.8966,0.5625,0.9851,0.9333,1.0,1.0
bge-small | a,123,0.7561,0.9024,0.9431,0.786,0.8234,0.625,0.9701,0.9333,0.9,1.0
bge-small | qa,123,0.8537,0.9431,0.9675,0.8517,0.8997,0.625,1.0,1.0,1.0,1.0
bge-small | q_max_a,123,0.8862,0.9593,0.9675,0.8793,0.9192,0.6875,1.0,1.0,1.0,1.0
bge-small | q_avg_a,123,0.8618,0.9593,0.9675,0.8614,0.9021,0.6875,1.0,1.0,1.0,1.0
e5-base | q,123,0.8455,0.9187,0.9431,0.8373,0.8809,0.4375,0.9851,1.0,1.0,1.0
e5-base | a,123,0.7886,0.935,0.9675,0.8186,0.8545,0.625,1.0,1.0,1.0,1.0
e5-base | qa,123,0.9024,0.9512,0.9837,0.8732,0.9277,0.6875,1.0,1.0,1.0,1.0
e5-base | q_max_a,123,0.8618,0.9593,0.9837,0.8654,0.9071,0.6875,1.0,1.0,1.0,1.0
e5-base | q_avg_a,123,0.8699,0.9431,0.9837,0.8709,0.9089,0.625,0.9851,1.0,1.0,1.0
bio-link-bert | q,123,0.3415,0.4309,0.5203,0.329,0.3875,0.125,0.5075,0.0667,0.6,0.75
bio-link-bert | a,123,0.0732,0.122,0.1789,0.0919,0.1009,0.0,0.1493,0.0667,0.3,0.0
bio-link-bert | qa,123,0.0894,0.1789,0.252,0.1175,0.1343,0.0,0.1642,0.0667,0.4,0.25
bio-link-bert | q_max_a,123,0.3415,0.4309,0.5203,0.3321,0.3872,0.125,0.5075,0.0667,0.6,0.75
bio-link-bert | q_avg_a,123,0.2358,0.3659,0.4065,0.2584,0.2874,0.0,0.4478,0.0,0.5,0.75
